2000 49983
1 21 1
1 135 1
1 203 1
1 215 1
1 221 1
1 287 1
1 290 1
1 292 1
1 533 1
1 615 1
1 618 1
1 671 1
1 690 1
1 764 1
1 770 1
1 778 1
1 822 1
1 894 1
1 938 1
1 1008 1
1 1021 1
1 1043 1
1 1126 1
1 1137 1
1 1184 1
1 1214 1
1 1269 1
1 1344 1
1 1361 1
1 1423 1
1 1464 1
1 1467 1
1 1660 1
1 1679 1
1 1740 1
1 1787 1
1 1796 1
1 1866 1
1 1883 1
1 1888 1
1 1901 1
1 1918 1
1 1953 1
1 1965 1
2 12 1
2 63 1
2 80 1
2 183 1
2 186 1
2 217 1
2 294 1
2 333 1
2 369 1
2 404 1
2 434 1
2 552 1
2 592 1
2 623 1
2 634 1
2 714 1
2 754 1
2 778 1
2 812 1
2 822 1
2 828 1
2 856 1
2 933 1
2 978 1
2 979 1
2 1033 1
2 1130 1
2 1136 1
2 1142 1
2 1183 1
2 1226 1
2 1236 1
2 1265 1
2 1342 1
2 1397 1
2 1448 1
2 1462 1
2 1569 1
2 1592 1
2 1604 1
2 1658 1
2 1780 1
2 1788 1
2 1831 1
2 1850 1
2 1931 1
2 1938 1
2 1996 1
3 12 1
3 109 1
3 141 1
3 148 1
3 188 1
3 369 1
3 401 1
3 491 1
3 511 1
3 523 1
3 529 1
3 538 1
3 573 1
3 672 1
3 703 1
3 754 1
3 783 1
3 916 1
3 981 1
3 1050 1
3 1096 1
3 1116 1
3 1129 1
3 1140 1
3 1184 1
3 1224 1
3 1230 1
3 1331 1
3 1395 1
3 1413 1
3 1478 1
3 1577 1
3 1582 1
3 1628 1
3 1637 1
3 1674 1
3 1677 1
3 1722 1
3 1727 1
3 1736 1
3 1749 1
3 1757 1
3 1761 1
3 1769 1
3 1825 1
3 1902 1
3 1938 1
3 1978 1
3 1989 1
4 41 1
4 51 1
4 82 1
4 106 1
4 196 1
4 216 1
4 392 1
4 403 1
4 406 1
4 464 1
4 467 1
4 530 1
4 649 1
4 665 1
4 677 1
4 687 1
4 694 1
4 787 1
4 798 1
4 812 1
4 826 1
4 832 1
4 844 1
4 872 1
4 885 1
4 956 1
4 964 1
4 975 1
4 1037 1
4 1078 1
4 1085 1
4 1151 1
4 1158 1
4 1212 1
4 1237 1
4 1245 1
4 1258 1
4 1368 1
4 1380 1
4 1402 1
4 1525 1
4 1578 1
4 1595 1
4 1603 1
4 1711 1
4 1715 1
4 1737 1
4 1763 1
4 1789 1
4 1794 1
4 1822 1
4 1864 1
4 1876 1
4 1928 1
4 1973 1
4 1981 1
4 1994 1
5 7 1
5 91 1
5 95 1
5 104 1
5 125 1
5 128 1
5 213 1
5 223 1
5 285 1
5 346 1
5 367 1
5 391 1
5 407 1
5 418 1
5 538 1
5 583 1
5 616 1
5 640 1
5 721 1
5 741 1
5 770 1
5 788 1
5 826 1
5 832 1
5 840 1
5 863 1
5 918 1
5 934 1
5 948 1
5 1007 1
5 1009 1
5 1035 1
5 1047 1
5 1070 1
5 1075 1
5 1093 1
5 1104 1
5 1177 1
5 1189 1
5 1249 1
5 1300 1
5 1337 1
5 1362 1
5 1492 1
5 1504 1
5 1520 1
5 1531 1
5 1578 1
5 1616 1
5 1633 1
5 1675 1
5 1723 1
5 1812 1
5 1856 1
5 1895 1
5 1940 1
6 13 1
6 16 1
6 32 1
6 43 1
6 136 1
6 178 1
6 207 1
6 281 1
6 426 1
6 443 1
6 477 1
6 504 1
6 511 1
6 530 1
6 553 1
6 595 1
6 598 1
6 599 1
6 635 1
6 693 1
6 711 1
6 768 1
6 769 1
6 784 1
6 811 1
6 889 1
6 905 1
6 1205 1
6 1244 1
6 1283 1
6 1372 1
6 1428 1
6 1473 1
6 1647 1
6 1705 1
6 1719 1
6 1741 1
6 1950 1
6 1966 1
6 1986 1
7 11 1
7 171 1
7 203 1
7 244 1
7 250 1
7 314 1
7 332 1
7 374 1
7 376 1
7 399 1
7 428 1
7 445 1
7 464 1
7 490 1
7 511 1
7 512 1
7 567 1
7 578 1
7 642 1
7 652 1
7 693 1
7 734 1
7 752 1
7 757 1
7 945 1
7 973 1
7 990 1
7 995 1
7 1019 1
7 1044 1
7 1065 1
7 1119 1
7 1143 1
7 1249 1
7 1262 1
7 1275 1
7 1304 1
7 1311 1
7 1350 1
7 1421 1
7 1465 1
7 1475 1
7 1513 1
7 1553 1
7 1604 1
7 1633 1
7 1716 1
7 1734 1
7 1747 1
7 1907 1
7 1919 1
7 1922 1
7 1950 1
7 1952 1
7 1955 1
7 1962 1
7 1972 1
8 12 1
8 38 1
8 42 1
8 92 1
8 102 1
8 109 1
8 140 1
8 228 1
8 341 1
8 400 1
8 413 1
8 431 1
8 534 1
8 549 1
8 564 1
8 637 1
8 641 1
8 723 1
8 739 1
8 794 1
8 798 1
8 812 1
8 830 1
8 838 1
8 851 1
8 862 1
8 902 1
8 909 1
8 933 1
8 942 1
8 1014 1
8 1098 1
8 1166 1
8 1179 1
8 1306 1
8 1335 1
8 1337 1
8 1358 1
8 1391 1
8 1452 1
8 1454 1
8 1569 1
8 1584 1
8 1587 1
8 1591 1
8 1614 1
8 1618 1
