1000 24866
1 9 1
1 21 1
1 26 1
1 29 1
1 31 1
1 37 1
1 90 1
1 132 1
1 171 1
1 208 1
1 230 1
1 232 1
1 242 1
1 262 1
1 281 1
1 353 1
1 356 1
1 358 1
1 364 1
1 375 1
1 383 1
1 390 1
1 393 1
1 394 1
1 403 1
1 441 1
1 450 1
1 459 1
1 461 1
1 474 1
1 478 1
1 497 1
1 523 1
1 526 1
1 535 1
1 549 1
1 559 1
1 586 1
1 590 1
1 610 1
1 627 1
1 646 1
1 648 1
1 650 1
1 675 1
1 681 1
1 693 1
1 729 1
1 788 1
1 795 1
1 823 1
1 833 1
1 843 1
1 844 1
1 858 1
1 863 1
1 886 1
1 894 1
1 912 1
1 933 1
1 973 1
1 980 1
2 30 1
2 31 1
2 108 1
2 121 1
2 148 1
2 160 1
2 209 1
2 213 1
2 219 1
2 244 1
2 270 1
2 275 1
2 293 1
2 296 1
2 335 1
2 337 1
2 364 1
2 367 1
2 375 1
2 384 1
2 462 1
2 467 1
2 468 1
2 494 1
2 500 1
2 513 1
2 522 1
2 527 1
2 528 1
2 553 1
2 573 1
2 577 1
2 589 1
2 600 1
2 614 1
2 632 1
2 661 1
2 665 1
2 673 1
2 719 1
2 731 1
2 780 1
2 947 1
2 951 1
2 961 1
2 964 1
3 15 1
3 32 1
3 44 1
3 46 1
3 70 1
3 74 1
3 85 1
3 86 1
3 91 1
3 95 1
3 96 1
3 134 1
3 142 1
3 157 1
3 165 1
3 174 1
3 187 1
3 245 1
3 246 1
3 360 1
3 362 1
3 388 1
3 401 1
3 419 1
3 434 1
3 469 1
3 490 1
3 520 1
3 522 1
3 538 1
3 546 1
3 549 1
3 556 1
3 558 1
3 596 1
3 606 1
3 625 1
3 628 1
3 637 1
3 646 1
3 673 1
3 709 1
3 714 1
3 730 1
3 761 1
3 800 1
3 825 1
3 846 1
3 847 1
3 849 1
3 877 1
3 954 1
3 964 1
3 992 1
4 7 1
4 56 1
4 63 1
4 64 1
4 78 1
4 98 1
4 129 1
4 152 1
4 168 1
4 189 1
4 200 1
4 208 1
4 223 1
4 236 1
4 247 1
4 252 1
4 254 1
4 305 1
4 324 1
4 338 1
4 361 1
4 392 1
4 399 1
4 419 1
4 433 1
4 438 1
4 511 1
4 515 1
4 523 1
4 527 1
4 560 1
4 577 1
4 578 1
4 585 1
4 595 1
4 654 1
4 659 1
4 673 1
4 742 1
4 748 1
4 761 1
4 777 1
4 783 1
4 828 1
4 854 1
4 908 1
4 975 1
4 976 1
5 25 1
5 36 1
5 40 1
5 75 1
5 88 1
5 100 1
5 106 1
5 152 1
5 163 1
5 170 1
5 222 1
5 223 1
5 317 1
5 374 1
5 383 1
5 385 1
5 399 1
5 428 1
5 436 1
5 453 1
5 469 1
5 485 1
5 514 1
5 532 1
5 586 1
5 609 1
5 631 1
5 641 1
5 643 1
5 729 1
5 731 1
5 749 1
5 757 1
5 758 1
5 818 1
5 876 1
5 924 1
5 932 1
5 944 1
5 961 1
5 969 1
5 977 1
6 18 1
6 46 1
6 70 1
6 79 1
6 80 1
6 84 1
6 133 1
6 143 1
6 145 1
6 173 1
6 202 1
6 252 1
6 259 1
6 277 1
6 338 1
6 361 1
6 367 1
6 421 1
6 431 1
6 432 1
